building_type,zone,domain,dw_cr1,dw_cr2,dw_cr3,dw_cr4,dw_cr5,dw_cr6,dw_cr7
Non-Residential,"North-East Europe","Dynamic building envelope",0.05,0,0.16,0.1,0.16,0.05,0.114285714
Non-Residential,"North-East Europe","Electric vehicle charging",0,0.05,0,0.1,0,0,0.114285714
Non-Residential,"North-East Europe","Monitoring and control",0.2,0.2,0.2,0.2,0.2,0.2,0.2
Non-Residential,"South-East Europe",Heating,0.287063086,0.421843249,0.16,0.1,0.16,0.325738701,0.114285714
Non-Residential,"South-East Europe","Domestic hot water",0.115722726,0.170056175,0,0.1,0,0.131313889,0.114285714
Non-Residential,"South-East Europe",Cooling,0.074585728,0.109604778,0.16,0.1,0.16,0.084634561,0.114285714
Non-Residential,"South-East Europe",Ventilation,0.150578197,0,0.16,0.1,0.16,0.17086539,0.114285714
Non-Residential,"South-East Europe",Lighting,0.089049016,0,0.16,0.1,0.16,0,0
Non-Residential,"South-East Europe",Electricity,0.033001247,0.048495797,0,0.1,0,0.03744746,0.114285714
Non-Residential,"South-East Europe","Dynamic building envelope",0.05,0,0.16,0.1,0.16,0.05,0.114285714
Non-Residential,"South-East Europe","Electric vehicle charging",0,0.05,0,0.1,0,0,0.114285714
Non-Residential,"South-East Europe","Monitoring and control",0.2,0.2,0.2,0.2,0.2,0.2,0.2
